This is a logfile generated by pires.obd.readerlat:47.11611333333334;long:17.916135;alt:265.09999999999997;vin:david3467_9;readings:M=...UNABLETOCONNECT; Timeout=OK; THROTTLE_POS=...UNABLETOCONNECT; Echo Off=OK; MAF=...UNABLETOCONNECT; AMBIENT_AIR_TEMP=...UNABLETOCONNECT; ENGINE_RUNTIME=...UNABLETOCONNECT; AIR_INTAKE_TEMP=...UNABLETOCONNECT; Line Feed Off=OK; FUEL_TYPE=...UNABLETOCONNECT; VIN=...UNABLETOCONNECT; Reset OBD=ATZELM327v1.5; ENGINE_LOAD=...UNABLETOCONNECT; Select Protocol AUTO=OK; INTAKE_MANIFOLD_PRESSURE=...UNABLETOCONNECT; ENGINE_COOLANT_TEMP=nulltrip_num: 10;teacher_id: 2;
TIME;LATITUDE;LONGITUDE;ALTITUDE;STUDENT_ID;TRIP_NUM;TEACHER_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1696426415719;47.11611166666667;17.916099999999997;265.09999999999997;david3467_9;10;2;null;83C;null;2,7%;NODATA;741RPM;24kPa;NODATA;null;null;null;NODATA;39C;null;0km/h;null;null;NODATA;14,5%;null;null;null;null
1696426419739;47.116096666666664;17.91606;265.0;david3467_9;10;2;null;83C;null;7,5%;NODATA;1323RPM;34kPa;NODATA;null;null;null;NODATA;36C;null;null;null;null;NODATA;18,4%;null;null;null;null
1696426423796;47.116083333333336;17.91602;265.09999999999997;david3467_9;10;2;null;83C;null;4,7%;NODATA;888RPM;35kPa;NODATA;null;null;null;NODATA;37C;null;3km/h;null;null;NODATA;16,1%;null;null;null;null
1696426427815;47.116171666666666;17.915976666666666;265.5;david3467_9;10;2;null;83C;null;16,9%;NODATA;1499RPM;43kPa;NODATA;null;null;null;NODATA;35C;null;1km/h;null;null;NODATA;22,7%;null;null;null;null
1696426431845;47.116305;17.915928333333333;264.9;david3467_9;10;2;null;83C;null;10,2%;NODATA;1360RPM;29kPa;NODATA;null;null;null;NODATA;36C;null;5km/h;null;null;NODATA;15,3%;null;null;null;null
1696426435875;47.11630333333333;17.915915;264.59999999999997;david3467_9;10;2;null;83C;null;3,5%;NODATA;788RPM;26kPa;NODATA;null;null;null;NODATA;37C;null;0km/h;null;null;NODATA;15,3%;null;null;null;null
1696426439900;47.11636166666667;17.91578666666667;264.2;david3467_9;10;2;null;83C;null;11,0%;NODATA;927RPM;80kPa;NODATA;null;null;null;NODATA;36C;null;17km/h;null;null;NODATA;27,5%;null;null;null;null
1696426443922;47.11632833333333;17.915383333333335;265.09999999999997;david3467_9;10;2;null;83C;null;28,2%;NODATA;1579RPM;75kPa;NODATA;null;null;null;NODATA;33C;null;35km/h;null;null;NODATA;27,8%;null;null;null;null
1696426447956;47.11619333333333;17.914806666666667;264.8;david3467_9;10;2;null;83C;null;9,8%;NODATA;1698RPM;66kPa;NODATA;null;null;null;NODATA;31C;null;42km/h;null;null;NODATA;25,1%;null;null;null;null
1696426451980;47.11595666666667;17.91421;264.5;david3467_9;10;2;null;83C;null;9,8%;NODATA;1883RPM;21kPa;NODATA;null;null;null;NODATA;32C;null;46km/h;null;null;NODATA;19,2%;null;null;null;null
1696426456014;47.11574333333333;17.91362666666667;264.3;david3467_9;10;2;null;83C;null;7,8%;NODATA;1732RPM;28kPa;NODATA;null;null;null;NODATA;33C;null;37km/h;null;null;NODATA;18,4%;null;null;null;null
1696426460052;47.11564;17.913251666666667;263.4;david3467_9;10;2;null;83C;null;3,9%;NODATA;761RPM;21kPa;NODATA;null;null;null;NODATA;36C;null;27km/h;null;null;NODATA;14,1%;null;null;null;null
1696426464078;47.1154;17.913341666666668;262.59999999999997;david3467_9;10;2;null;84C;null;6,7%;NODATA;1267RPM;84kPa;NODATA;null;null;null;NODATA;34C;null;32km/h;null;null;NODATA;29,8%;null;null;null;null
1696426468101;47.11507666666667;17.913705;265.4;david3467_9;10;2;null;83C;null;37,6%;NODATA;1854RPM;43kPa;NODATA;null;null;null;NODATA;30C;null;42km/h;null;null;NODATA;37,3%;null;null;null;null
1696426472137;47.11462166666667;17.913911666666667;264.8;david3467_9;10;2;null;84C;null;27,5%;NODATA;1676RPM;79kPa;NODATA;null;null;null;NODATA;30C;null;50km/h;null;null;NODATA;27,5%;null;null;null;null
1696426476164;47.11411666666666;17.914128333333334;266.0;david3467_9;10;2;null;84C;null;30,2%;NODATA;1950RPM;74kPa;NODATA;null;null;null;NODATA;29C;null;55km/h;null;null;NODATA;29,0%;null;null;null;null
1696426480206;47.113613333333326;17.91424;269.09999999999997;david3467_9;10;2;null;84C;null;6,7%;NODATA;1976RPM;28kPa;NODATA;null;null;null;NODATA;31C;null;45km/h;null;null;NODATA;18,8%;null;null;null;null
1696426484238;47.11327333333334;17.91432166666667;270.09999999999997;david3467_9;10;2;null;84C;null;7,5%;NODATA;1424RPM;30kPa;NODATA;null;null;null;NODATA;33C;null;21km/h;null;null;NODATA;14,9%;null;null;null;null
1696426488261;47.11317999999999;17.914346666666667;271.0;david3467_9;10;2;null;84C;null;3,9%;NODATA;780RPM;43kPa;NODATA;null;null;null;NODATA;36C;null;6km/h;null;null;NODATA;14,5%;null;null;null;null
